ronde,datum,tijd,uitthuis,opponent,goalsAjax,goalsOpp
1,12.08.2017,20:45,U,Heracles Almelo,1,2
2,20.08.2017,14:30,T,FC Groningen,3,1
3,27.08.2017,14:30,U,VVV-Venlo,2,0
4,09.09.2017,20:45,T,PEC Zwolle,3,0
5,17.09.2017,14:30,U,ADO Den Haag,1,1
6,24.09.2017,14:30,T,Vitesse,1,2
7,01.10.2017,14:30,U,sc Heerenveen,4,0
8,14.10.2017,18:30,T,Sparta Rotterdam,4,0
9,22.10.2017,14:30,U,Feyenoord,4,1
10,28.10.2017,20:45,U,Willem II,3,1
11,05.11.2017,14:30,T,FC Utrecht,1,2
12,18.11.2017,20:45,U,NAC Breda,8,0
13,26.11.2017,12:30,T,Roda JC Kerkrade,5,1
14,02.12.2017,18:30,U,FC Twente,3,3
15,10.12.2017,17:00,T,PSV,3,0
16,14.12.2017,20:45,T,SBV Excelsior,3,1
17,17.12.2017,14:30,U,AZ Alkmaar,2,1
18,24.12.2017,14:30,T,Willem II,3,1
19,21.01.2018,14:30,T,Feyenoord,2,0
20,28.01.2018,12:30,U,FC Utrecht,0,0
21,04.02.2018,16:45,T,NAC Breda,3,1
22,07.02.2018,20:45,U,Roda JC Kerkrade,4,2
23,11.02.2018,12:30,T,FC Twente,2,1
24,18.02.2018,16:45,U,PEC Zwolle,1,0
25,25.02.2018,12:30,T,ADO Den Haag,0,0
26,04.03.2018,14:30,U,Vitesse,2,3
27,11.03.2018,14:30,T,sc Heerenveen,4,1
28,18.03.2018,14:30,U,Sparta Rotterdam,5,2
29,01.04.2018,14:30,U,FC Groningen,2,1
30,08.04.2018,16:45,T,Heracles Almelo,1,0
31,15.04.2018,16:45,U,PSV,0,3
32,19.04.2018,20:45,T,VVV-Venlo,4,1
33,29.04.2018,14:30,T,AZ Alkmaar,3,0
34,06.05.2018,14:30,U,SBV Excelsior,2,1
