"Series";"Time";"Value"
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T15:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T15:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T15:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T15:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T15:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T15:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T16:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T16:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T16:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T16:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T16:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T16:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T17:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T17:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T17:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T17:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T17:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T17:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T18:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T18:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T18:20:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T18:30:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T18:40:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T18:50:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T19:00:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T19:10:00+01:00";null
"AstroPlantExplorer.AppleLokaal.mean";"2020-01-27T19:20:00+01:00";null
